species,redlistCategory,type,prob.ext,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
Mobula_tarapacana,Endangered,rays,0.485,-0.010031569,0.047303859,-0.017486263,0.009453764,-0.004935198,-0.001091817,0.007349204,0.001714059,-0.005160936,0.004622206,-0.005484661,-0.001101963,-0.001774162,-0.001654283,-0.00207088,-0.000329257,-0.002111193,-0.002232838,0.001957823,0.000264214,0.000264893,-0.000607067,-6.76E-05,5.48E-05,-0.000364736,0.000111179,8.67E-06,-2.68E-18
Myliobatis_australis_mask,Endangered,rays,0.485,0.001499301,0.035118214,-0.028901326,0.018883371,-0.011039256,-0.018018623,-0.003574952,-0.003435228,0.00045046,-0.008163449,0.004064422,1.29E-05,-0.00234943,-0.000739472,0.002461786,0.00092896,-4.26E-05,-0.000259431,-0.001274211,-8.74E-05,-0.000181593,0.000147547,-3.56E-05,-0.000141056,-5.08E-05,-1.65E-05,1.16E-05,-4.45E-18
Myliobatis_californica,Least Concern,rays,0.060625,0.060462886,-0.005369989,0.005618069,-0.00403857,-0.00844945,-0.009466087,-0.005586561,-0.012034352,-0.003420531,0.007976121,-0.002940076,0.003022899,-5.45E-05,0.002415401,-0.00030637,-0.001605881,0.001227185,0.001214377,0.00011547,0.000151184,-2.46E-05,3.87E-05,-0.00021644,-0.000307125,-0.000252847,-4.77E-06,-4.08E-05,3.97E-18
Pristis_microdon_mask,Least Concern,rays,0.060625,0.002300395,0.013032411,-0.025341368,-0.036624124,0.001669041,0.005779104,-0.008639175,0.002563037,-0.001010887,-0.003024572,-0.000966114,0.001280185,0.000335861,-0.000216335,0.000452018,0.001058701,0.000271307,0.001278951,0.000147858,-9.69E-05,-0.000552501,-0.000489984,-0.000703458,0.000713913,-0.000297308,0.000528732,-0.000116305,2.87E-18
Pristis_pectinata,Critically Endangered,rays,0.97,0.002158961,0.010043844,-0.024426248,-0.035981435,0.0029466,0.005208975,-0.007529767,0.001688253,-0.002626901,-0.000242231,-0.001557414,0.000550145,-0.001038471,0.001132761,0.001187269,5.44E-05,-0.000263618,-0.001413603,-0.00025701,0.000282066,0.000582041,0.000550665,0.000791387,-0.000804222,0.000210404,-0.000543502,9.27E-05,5.78E-18
Pteromylaeus_bovinus,Critically Endangered,rays,0.97,0.054690529,-0.006335776,0.00086489,0.006561066,-0.01045376,0.00167886,-0.001910943,0.014295415,-0.003146196,0.000945027,0.003620078,-0.00819399,0.002654471,0.002935008,-0.000276461,-0.000694561,5.03E-05,0.000303182,6.95E-05,-0.000145362,-0.000167934,-7.37E-06,-0.000342723,-0.000216385,-5.52E-05,-7.87E-05,-7.45E-06,-1.60E-18
Pteroplatytrygon_violacea,Critically Endangered,rays,0.97,-0.015912511,-0.011765839,-0.013935157,0.011170612,0.008676174,-0.008298538,-0.003005649,0.008086011,0.004028923,0.000334546,0.000825864,0.004949705,0.001705597,-0.000123027,-0.000687728,-0.002360185,-0.001975722,0.003185017,0.001150421,0.000710811,0.000471358,-0.000223184,0.000589638,-0.000254492,-0.000246055,-7.93E-05,-9.53E-06,-2.08E-18
Rhina_ancylostoma,Critically Endangered,rays,0.97,-0.017420301,-0.020119884,-0.002914549,-0.010621156,-0.001914517,-0.007644884,0.004259838,-0.000614314,-0.002259062,0.002063422,0.008134758,0.001138044,0.002994001,-0.002614468,-0.000550803,0.001778484,0.002442207,-0.000981024,0.002386907,0.000849994,0.00111353,0.00017762,-0.000227452,0.000395458,9.69E-05,-5.58E-05,-3.40E-05,2.63E-18
Rhinobatos_cemiculus,Critically Endangered,rays,0.97,-0.017270268,-0.023793366,-0.003540513,-0.015820733,-0.001189922,-0.002626725,0.009238701,-0.004335835,-0.000649841,-7.60E-05,0.000440727,-0.003539706,0.000688482,-0.002584018,-0.000372764,-0.002472971,-0.001773122,0.000678349,-0.000719417,-0.000600978,-0.000632981,0.001218754,-0.000344417,0.000775651,-0.000533942,-0.000243524,0.000148702,-9.23E-18
Rhynchobatus_djiddensis,Critically Endangered,rays,0.97,-0.015065455,-0.024215342,-0.001523377,-0.01629872,0.002313283,-0.002813482,0.012797711,-0.005167752,-0.002481601,-0.000793524,0.001920957,-0.004366265,0.000277077,-0.000187367,0.000262075,-0.001043155,-0.000391175,0.000483659,-0.001700698,0.000911273,-7.24E-06,-0.001351103,0.000414659,-0.000873728,0.00027453,0.000285466,-3.17E-05,-5.63E-18
