species,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Lissodelphis_borealis_mask,Least Concern,0.060625,0.015064369,-0.004510981,-0.002308866,-0.004199709,-0.000486151,0.000155822,-0.001441311,-0.002178842,-0.001518241,-0.00051207,-0.000166746,0.000172319,-0.001047245,-0.000261623,-0.000838987,-0.00049832,-0.000424408,0.000315099,-0.000108707,0.000203333,8.71E-05,-0.000353777,5.66E-05,-1.53E-05,1.74E-05,0.000118591,1.89E-05,-8.16E-07,-3.96E-18
Lissodelphis_peronii_mask,Least Concern,0.060625,0.005914802,-0.008751,0.005293769,-0.001667914,0.001827661,0.001529739,0.002224654,-0.000613207,0.00034254,0.001967473,2.74E-05,-0.000544412,0.00031638,0.000687302,0.000365676,1.76E-05,7.05E-05,-1.36E-05,-9.44E-06,0.000182742,0.000151652,-0.000132315,6.01E-06,-0.000195941,-9.41E-05,-0.000156381,-2.28E-05,0.000216646,-3.01E-18
Orcaella_brevirostris_mask,Endangered,0.485,0.000769623,-0.006655334,0.002998601,-0.000586891,0.001156315,0.00168495,0.00150771,0.001079855,-0.000774322,0.000751508,0.001051517,0.000925582,0.000798103,-0.000660582,-6.73E-05,-0.000266604,0.000116741,0.000783665,-0.000351406,-0.00044685,6.05E-05,0.000128665,4.81E-05,0.000144464,5.81E-05,0.000117002,-0.000130816,-0.000152424,-3.17E-18
Orcaella_heinsohni_mask,Vulnerable,0.2425,0.008914359,-0.003167702,-0.001047157,0.002768627,0.000244936,-0.00104152,-0.000335361,-0.000585433,-0.000977461,0.001394083,-0.000972556,0.000836994,0.000492454,0.000758699,-0.000784594,0.001063644,-0.000122432,-7.37E-05,9.03E-06,0.00018116,-0.000144344,0.000519716,4.71E-05,9.67E-05,0.000153824,-5.11E-06,0.000123958,-5.06E-05,-3.54E-18
Pontoporia_blainvillei_mask,Near Threatened,0.12125,0.004287324,-0.00614157,0.002425113,-0.002431566,-0.001710647,-0.000898714,-0.000734697,0.00090829,0.002665905,-0.000294007,-0.000643874,-0.000915214,0.000274602,-0.001500628,0.000217567,0.000132336,3.45E-05,0.000305377,0.000419003,0.000374654,2.77E-05,0.000279236,1.81E-05,0.000124115,6.49E-05,-3.46E-05,0.000101917,-3.48E-05,-2.84E-18
Sotalia_guianensis_mask,Vulnerable,0.2425,0.000228234,0.000981475,0.004555781,0.0025515,-0.00208093,-0.00022951,-0.000752581,-0.000581763,-0.000405481,0.000725219,-0.000982245,-0.000743481,0.000226811,-0.000131913,0.000402287,-0.000239829,0.000174406,-0.00014424,-0.000164377,-0.000266258,-0.000297092,-0.000541869,0.00029775,-0.000277456,0.00036712,-0.000138562,4.95E-05,-0.00011683,-2.27E-18
Sousa_chinensis_mask,Critically Endangered,0.97,-0.001127229,-0.007199851,0.000562374,0.002807653,-0.002632185,-0.000285076,0.001216274,0.001230423,0.000875993,-0.001550444,0.000307345,-0.000717703,-0.000931321,0.001426931,-0.00018317,0.00010885,7.41E-05,0.000178185,0.000122457,-9.21E-06,0.000402026,-1.81E-05,0.000309914,-3.57E-05,-0.000139274,0.000101397,-1.02E-05,-0.000106487,-3.39E-18
Sousa_teuszii_mask,Least Concern,0.060625,0.007953737,-0.00064057,-0.001378981,0.003098862,0.001020116,-0.000659869,3.55E-05,0.001092105,0.002193241,0.000338109,-0.000349728,0.000124361,-0.000151065,6.34E-05,-0.000514003,-2.70E-05,-0.000835407,-5.38E-05,0.000382986,-0.000500417,-0.000412746,-0.000310988,-0.000357103,-2.68E-05,-5.13E-05,9.09E-05,-0.000120357,3.81E-05,-3.30E-18
Stenella_attenuata_mask,Least Concern,0.060625,-0.003294965,-0.000104411,0.004545387,-0.004206441,0.000897199,-0.001160121,0.000241178,0.000282512,0.000720336,-0.000484644,0.000646127,0.001241308,-0.000345781,0.000141842,-0.000542531,9.03E-05,0.000431088,-0.000773858,9.42E-05,0.00026467,-0.000499479,1.94E-05,0.000133249,-0.00018509,-0.000165021,-0.000141606,-0.000114053,-0.000111829,-2.92E-18
Stenella_clymene_mask,Least Concern,0.060625,-0.004489999,0.004106175,0.005191659,-0.002482496,-0.002249754,0.000567937,0.001208677,-0.000554354,-0.000643825,-0.00060782,-0.000654838,-0.00041871,0.000928805,-0.000132101,-0.000848955,0.000178882,-0.00027857,-0.000770033,0.000111331,-0.000472036,0.000398676,-0.000164847,-8.28E-05,0.000366956,-0.000103695,-2.96E-06,7.34E-05,6.94E-06,-3.06E-18
