species,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
Pseudorca_crassidens_mask,Data Deficient,Data Deficient,0.006364047,0.003304361,-0.001635114,-0.004536664,-0.001543226,0.002724515,0.000790786,-0.001153237,-0.001136489,-0.0023053,0.001185053,7.60E-05,0.000602823,-0.000410527,-0.000677008,-0.000238313,-0.000436029,0.000949424,-5.31E-05,3.12E-05,-3.12E-05,-0.000336989,-0.000294487,8.79E-05,-0.000243253,0.000418644,2.90E-05,0.000135665,9.61E-05,-9.00E-05,-9.37E-05,5.70E-05,5.48E-05,-8.01E-06,8.85E-05,-1.47E-05,8.97E-06,2.30E-05,3.35E-05,2.35E-06,7.67E-06,6.97E-06,9.29E-06,-1.51E-06,4.18E-18
Tasmacetus_shepherdi_mask,Least Concern,0.060625,-0.005772904,0.001493532,-0.002575802,0.002713691,-0.000624959,0.00063229,2.74E-05,0.001560415,0.00087349,0.002019141,-0.000928478,0.000675804,0.000107674,0.000590286,-0.000404593,0.000379753,-0.000355972,0.000122273,0.000141327,-0.000160758,0.000455872,-0.000166159,0.000180494,0.000213899,-5.56E-05,0.000257487,-0.000393089,-2.87E-05,-5.55E-05,5.72E-06,5.41E-05,-9.63E-06,7.68E-05,9.61E-05,5.81E-05,5.64E-05,9.64E-05,-3.39E-05,2.83E-05,1.77E-05,-9.08E-06,1.38E-05,1.21E-05,-1.71E-05,4.70E-18
Ziphius_cavirostris_mask,Near Threatened,0.12125,0.000498988,0.002865595,-0.001576926,0.000236148,-0.001361086,-0.000673882,-0.002967474,0.000825644,0.000149498,0.000196778,-0.001815537,0.000490568,0.000819951,-0.00096307,-0.000191267,-0.00025706,0.000391202,0.000160345,9.62E-06,-2.93E-05,-0.000187347,-0.000355236,-0.000214921,0.000212652,0.000164717,0.000279886,3.90E-05,-0.000250365,-0.000126579,-0.000148969,0.000127702,-5.36E-05,-6.99E-05,1.89E-05,-9.37E-05,-1.49E-05,-1.12E-05,2.33E-05,-2.67E-05,7.77E-06,5.65E-05,-1.74E-05,5.08E-06,5.63E-06,4.77E-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Critically Endangered,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Endangered,,4,,0.155555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vulnerable,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Near Threatened,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Least Concern,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data Deficient,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
