species ,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
Stenella_coeruleoalba_mask,Least Concern,0.060625,0.001610619,0.003598521,-0.000386805,0.001398502,6.23E-05,-0.001500563,-0.000995858,0.001303589,0.000796336,0.000996012,0.000125366,-0.001349842,-0.001470303,-0.001372082,-0.000690241,-0.00037584,-9.74E-05,0.000199093,-0.001395715,-3.49E-05,-0.000521157,9.71E-06,-1.81E-05,0.000170818,-0.000600379,-0.000124707,-3.10E-05,-0.000182052,9.95E-05,-0.000255315,-0.000170384,0.000247242,0.000259421,6.43E-05,1.69E-06,1.65E-05,-4.94E-05,9.98E-05,-2.40E-05,1.06E-05,3.87E-05,0.000136116,-4.69E-05,2.81E-05,4.78E-05,4.20E-05,-2.01E-05,3.51E-05
Stenella_frontalis_mask,Least Concern,0.060625,-0.006516018,0.005265189,-0.000463822,0.003666857,-0.002785961,0.000344487,-0.001207399,8.55E-05,-6.46E-05,0.001036389,0.000687212,0.000887949,-0.000575459,-0.000848368,0.000542777,0.000147039,0.000783473,0.000109702,0.000310241,0.000530286,8.29E-06,-6.37E-05,-0.000263024,0.000493401,-0.000700675,-0.000314147,0.000142091,5.09E-07,0.000312737,2.66E-05,-7.75E-05,0.000160858,-4.77E-05,-0.000136668,3.01E-05,-4.84E-05,0.000116641,0.000105438,3.88E-05,7.16E-05,-1.86E-05,8.53E-06,-3.76E-05,-1.36E-06,-9.46E-06,-4.44E-05,9.63E-06,-1.79E-05
Stenella_longirostris_mask,Least Concern,0.060625,0.003012158,0.007848543,0.003742676,0.001472342,0.003121451,0.000827717,-0.003192864,-0.001856958,-0.000339472,-0.000603558,0.001706415,-0.001957114,-0.000714621,-0.000321279,0.000855203,2.11E-05,0.000227263,-0.000228401,-0.000996611,-1.37E-05,-0.000431842,-0.000233402,-0.000312197,-0.000109357,9.82E-06,-0.00056174,3.00E-05,-8.45E-05,0.000217654,-1.18E-05,0.0003866,0.000206853,-4.97E-05,-0.000114864,4.65E-05,-0.000102365,-7.71E-05,0.000101567,-6.76E-05,-5.01E-06,-6.79E-05,9.01E-06,4.73E-05,-9.24E-05,2.01E-05,1.31E-06,1.19E-05,-2.38E-05
Steno_bredanensis_mask,Least Concern,0.060625,-0.01357835,-0.000300212,0.005342751,0.001130338,-0.003066492,-9.33E-05,0.001721056,0.004312769,-0.001920153,0.000531241,-0.001880797,0.000335049,-5.68E-05,-0.001032345,1.12E-05,0.000463561,-0.001304208,-0.000804223,6.80E-05,0.000241025,-1.36E-05,-0.000415449,-0.000218527,4.66E-05,8.16E-06,6.72E-05,0.000358052,-0.000104433,0.000177338,0.000295135,0.000205268,-7.29E-06,8.00E-05,9.72E-05,0.000140502,0.000107838,-0.000261044,4.56E-05,-8.21E-05,-2.27E-05,8.70E-06,6.20E-05,4.19E-05,8.03E-05,-7.21E-06,1.36E-05,3.74E-05,2.55E-05
Tasmacetus_shepherdi_mask,Least Concern,0.060625,0.008022266,0.000710441,0.003011373,-0.000971876,-0.001551314,2.72E-05,0.001998111,0.001440028,0.000151021,0.000367912,-0.000327496,0.000334371,-0.001510342,0.000379345,-0.000899902,0.000108127,0.000979408,-0.000456987,8.74E-05,-0.000143221,6.91E-05,-0.000467551,0.00051651,-6.24E-05,0.000113377,-0.000219908,-0.000139264,-0.000140412,7.32E-05,0.000345517,-9.49E-05,-0.00033432,5.39E-05,-0.000250162,0.000100563,-4.75E-05,-6.97E-05,2.81E-05,-5.11E-05,-0.000159032,-4.82E-05,-4.69E-05,-9.81E-05,1.81E-05,-0.00012074,-1.03E-06,-1.28E-05,6.13E-06
Tursiops_aduncus_mask,Near Threatened,0.12125,-0.01093862,-0.003688619,-0.00554842,0.006212126,3.81E-05,0.0010589,0.002069956,0.001173375,0.001803633,-0.000225684,-0.00058189,-0.000563167,0.001647534,0.000867662,0.000583512,0.000806188,0.000204795,-0.000242543,0.000366667,0.000495996,-0.000199778,0.000367359,-0.000451816,-0.000173278,0.000793249,-0.000365547,0.00058768,0.000131225,9.27E-05,0.000149429,0.000125087,6.02E-05,5.45E-05,0.000159475,-0.000226091,-0.000110732,5.91E-06,8.99E-05,-0.000249603,-9.66E-05,-1.63E-05,1.12E-05,0.000153146,-3.17E-05,1.65E-05,-2.78E-06,-1.53E-05,-4.65E-06
Tursiops_truncatus_mask,Vulnerable,0.2425,0.001103106,0.00633052,0.003855827,-0.006420721,0.003336285,-0.001309325,-0.00182155,-0.001040487,0.000423428,-0.001425489,-0.000110346,0.004098239,0.002429175,-0.001538661,-0.001146932,0.001048653,-0.000470328,-0.001108357,-0.00015234,0.00038811,0.00052319,0.000321457,-2.78E-05,0.000284449,0.00043379,-0.000102086,-0.000169642,-0.000228584,-0.000150877,6.87E-05,1.91E-05,0.000315513,0.000209232,-0.000113567,0.000221042,-0.000124046,-2.82E-05,0.000110738,0.000122194,-4.00E-05,2.84E-05,2.76E-05,-6.68E-06,-2.23E-05,-3.67E-05,-3.96E-05,-1.42E-07,-4.10E-06
Ziphius_cavirostris_mask,Near Threatened,0.12125,0.001298059,0.000739624,0.001250323,0.000153686,-0.001357644,0.000845262,0.002278873,-0.00183174,4.28E-05,-0.000148518,-0.001902087,0.001317865,-0.000960381,0.000330112,0.000128347,-0.000702302,5.20E-05,7.24E-05,-0.000283859,5.82E-06,0.000150536,0.000333096,0.000365098,0.000199006,-8.76E-05,8.05E-05,0.000174424,-2.32E-05,-7.41E-05,-0.000152582,0.000117514,-0.000212805,3.93E-05,0.000144306,4.97E-05,-4.99E-05,-4.22E-07,4.91E-06,8.41E-05,-0.000152226,0.000146444,2.39E-05,8.60E-05,-3.13E-05,-6.74E-05,6.18E-06,-4.57E-05,4.21E-06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Critically Endangered,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Endangered,,6,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vulnerable,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Near Threatened,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Least Concern,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data Deficient,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
